item,category,price
whole milk,dairy,30
other vegetables,vegetables,60
rolls/buns,bakery,30
soda,drinks,20
yogurt,dairy,30
root vegetables,vegetables,30
tropical fruit,fruit,200
bottled water,drinks,20
sausage,non-veg,100
citrus fruit,fruit,150
pastry,bakery,50
pip fruit,fruit,200
shopping bags,bag,30
canned beer,drinks,135
bottled beer,drinks,200
whipped/sour cream,dairy,240
newspapers,newspaper,8
frankfurter,non-veg,100
brown bread,bakery,40
domestic eggs,non-veg,80
pork,non-veg,150
butter,dairy,30
fruit/vegetable juice,drinks,140
beef,non-veg,150
curd,dairy,30
margarine,oil,200
coffee,drinks,90
frozen vegetables,vegetables,50
chicken,non-veg,180
white bread,bakery,20
cream cheese ,dairy,40
chocolate,sweet,20
dessert,dessert,80
napkins,personal hygiene,50
berries,fruit,300
hamburger meat,non-veg,150
UHT-milk,dairy,65
onions,vegetables,20
salty snack,snack,40
waffles,bakery,30
long life bakery product,bakery,100
sugar,dry food,40
butter milk,dairy,10
ham,non-veg,150
meat,non-veg,340
frozen meals,frozen meals,110
beverages,drinks,40
specialty chocolate,sweet,100
misc. beverages,drinks,120
ice cream,dessert,40
oil,oil,180
grapes,fruit,180
hard cheese,dairy,60
candy,sweet,10
sliced cheese,dairy,90
specialty bar,sweet,200
hygiene articles,hygiene articles,170
chewing gum,sweet,10
cat food,animal food,80
white wine,drinks,890
herbs,spices,40
red/blush wine,drinks,540
soft cheese,dairy,200
processed cheese,dairy,90
flour,dry food,45
semi-finished bread,bakery,20
dishes,kitchen utensils,200
pickled vegetables,preservatives,50
detergent,laundry,60
packaged fruit/vegetables,vegetables,100
baking powder,dry food,30
pasta,dry food,30
pot plants,plant,40
canned fish,non-veg,150
seasonal products,seasonal products,200
liquor,drinks,150
frozen fish,non-veg,120
spread cheese,dairy,50
condensed milk,dairy,110
cake bar,bakery,50
frozen dessert,dessert,100
mustard,dry food,175
salt,dry food,40
pet care,animal food,300
roll products ,roll products,30
canned vegetables,vegetables,40
turkey,non-veg,200
photo/film,photo/film,60
mayonnaise,dairy,45
cling film/bags,bag,600
dish cleaner,soap,80
specialty cheese,dairy,200
frozen potato products,frozen meals,120
flower (seeds),plant,80
sweet spreads,spreads,150
dog food,animal food,100
liquor (appetizer),drinks,150
candles,others,20
finished products,others,300
instant coffee,drinks,20
zwieback,bakery,200
chocolate marshmallow,sweet,140
Instant food products,instant food products,40
vinegar,preservatives,50
liver loaf,non-veg,150
rice,dry food,70
popcorn,snack,20
soups,instant food products,30
sparkling wine,drinks,100
curd cheese,dairy,350
house keeping products,house keeping products,100
sauces,spreads,70
cereals,dry food,40
softener,laundry,60
female sanitary products,personal hygiene,200
spices,spices,40
brandy,drinks,650
male cosmetics,cosmetics,200
meat spreads,spreads,100
jam,spreads,40
dental care,dental care,110
nuts/prunes,dry food,30
ketchup,spreads,40
rum,drinks,1000
cleaner,hygiene articles,200
kitchen towels,bag,10
artif. sweetener,sweet,250
specialty fat,oil,200
fish,non-veg,120
light bulbs,electrics,100
tea,drinks,110
snack products,snack,50
potato products,snack,110
abrasive cleaner,hygiene articles,150
nut snack,snack,60
tidbits,snack,200
organic sausage,non-veg,150
syrup,medicine,200
canned fruit,fruit,200
soap,soap,30
skin care,personal hygiene,200
prosecco,drinks,1000
cookware,kitchen utensils,900
bathroom cleaner,hygiene articles,150
pudding powder,dessert,80
flower soil/fertilizer,ferztilizer,40
cocoa drinks,drinks,50
ready soups,instant food products,30
cooking chocolate,sweet,60
honey,spreads,40
cream,dairy,80
frozen fruits,fruit,150
specialty vegetables,vegetables,40
organic products,organic products,500
liqueur,drinks,500
hair spray,personal hygiene,150
decalcifier,house keeping products,
whisky,drinks,900
salad dressing,spreads,200
frozen chicken,non-veg,180
rubbing alcohol,personal hygiene,200
make up remover,personal hygiene,200
toilet cleaner,hygiene articles,150
bags,bag,800
baby cosmetics,baby cosmetics,500
kitchen utensil,kitchen utensils,1500
preservation products,preservatives,150
